,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,UrlFotoParlamentar,EmailParlamentar,NumeroTelefone,SiglaPartidoParlamentar,UfParlamentar,CodigoBloco,NomeBloco,UfMandatoParlamentar,NumeroPrimeiraLegislatura,DataInicioPrimeiraLegislatura,DataFimPrimeiraLegislatura,NumeroSegundaLegislatura,DataInicioSegundaLegislatura,DataFimSegundaLegislatura,DescricaoParticipacao,1º Suplente,2º Suplente
20,Eduardo Girão,Luis Eduardo Grangeiro Girão,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,sen.eduardogirao@senado.leg.br,,NOVO,CE,338,Bloco Parlamentar Vanguarda,CE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Sargento Reginaldo,Dr. Guimarães
21,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,sen.eduardogomes@senado.leg.br,,PL,TO,338,Bloco Parlamentar Vanguarda,TO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Siqueira Campos,Ogari Pacheco
22,Efraim Filho,Efraim de Araújo Morais Filho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,sen.efraimfilho@senado.leg.br,,UNIÃO,PB,336,Bloco Parlamentar Democracia,PB,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Andre Amaral,Erik Marinho
23,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,sen.elizianegama@senado.leg.br,,PSD,MA,335,Bloco Parlamentar da Resistência Democrática,MA,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Pedro Fernandes,Bene Camacho
24,Esperidião Amin,Esperidião Amin Helou Filho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,sen.esperidiaoamin@senado.leg.br,,PP,SC,338,Bloco Parlamentar Vanguarda,SC,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Geraldo Althoff,Denise dos Santos
25,Fabiano Contarato,Fabiano Contarato,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,sen.fabianocontarato@senado.leg.br,,PT,ES,335,Bloco Parlamentar da Resistência Democrática,ES,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Ana Paula Tongo,Bento
26,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,sen.fernandodueire@senado.leg.br,,MDB,PE,336,Bloco Parlamentar Democracia,PE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,Adilson Gomes,
27,Fernando Farias,Fernando Lopes de Farias,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,,,,,,,,,,,57,,,,,
28,Flávio Arns,Flávio José Arns,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,sen.flavioarns@senado.leg.br,,PSB,PR,335,Bloco Parlamentar da Resistência Democrática,PR,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Vilson Basso,Flavio Vicente
29,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,sen.flaviobolsonaro@senado.leg.br,,PL,RJ,338,Bloco Parlamentar Vanguarda,RJ,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Paulo Marinho,Leonardo Rodrigues
30,Giordano,Alexandre Luiz Giordano,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,sen.giordano@senado.leg.br,,MDB,SP,336,Bloco Parlamentar Democracia,SP,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,Astronauta Marcos Pontes,
31,Hamilton Mourão,Antonio Hamilton Martins Mourão,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,sen.hamiltonmourao@senado.leg.br,,REPUBLICANOS,RS,338,Bloco Parlamentar Vanguarda,RS,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Liziane Bayer,Coronel Andreuzza
32,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,sen.humbertocosta@senado.leg.br,,PT,PE,335,Bloco Parlamentar da Resistência Democrática,PE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Waldemar Oliveira,Marcia do Angico
33,Irajá,Irajá Silvestre Filho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,sen.iraja@senado.leg.br,,PSD,TO,335,Bloco Parlamentar da Resistência Democrática,TO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Marcos de Souza Costa,Terciliano Gomes
34,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,sen.ivetedasilveira@senado.leg.br,,MDB,SC,336,Bloco Parlamentar Democracia,SC,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,Beto Martins,
35,Izalci Lucas,Izalci Lucas Ferreira,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,sen.izalcilucas@senado.leg.br,,PSDB,DF,336,Bloco Parlamentar Democracia,DF,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Luis Felipe Belmonte,Andre Filipe
36,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,sen.jaderbarbalho@senado.leg.br,,MDB,PA,336,Bloco Parlamentar Democracia,PA,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Helenilson Pontes,Chamon
37,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,sen.jaimebagattoli@senado.leg.br,,PL,RO,338,Bloco Parlamentar Vanguarda,RO,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Pastor Sebastião Valadares,Dheep Rover
38,Jaques Wagner,Jaques Wagner,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,sen.jaqueswagner@senado.leg.br,,PT,BA,335,Bloco Parlamentar da Resistência Democrática,BA,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Bebeto,Luciana Leão Muniz
39,Jayme Campos,Jayme Veríssimo de Campos,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,sen.jaymecampos@senado.leg.br,,UNIÃO,MT,336,Bloco Parlamentar Democracia,MT,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Fabio Garcia,Cândida Farias
40,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,sen.jorgekajuru@senado.leg.br,,PSB,GO,335,Bloco Parlamentar da Resistência Democrática,GO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Benjamin Beze Junior,Milton Mercêz
41,Jorge Seif,Jorge Seif Júnior,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,sen.jorgeseif@senado.leg.br,,PL,SC,338,Bloco Parlamentar Vanguarda,SC,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Hermes Klann,Adrian da Blukit
42,Jussara Lima,Antônia Jussara Gomes Alves Sousa Lima,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg,,,,,,,,,,,58,,,,,
43,Laércio Oliveira,Laércio José de Oliveira,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,sen.laerciooliveira@senado.leg.br,,PP,SE,338,Bloco Parlamentar Vanguarda,SE,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Janier,Fernando Carvalho
44,Leila Barros,Leila Gomes de Barros Rêgo,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,sen.leilabarros@senado.leg.br,,PDT,DF,336,Bloco Parlamentar Democracia,DF,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Leany Lemos,Ivonete Nascimento
45,Lucas Barreto,Luiz Cantuária Barreto,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,sen.lucasbarreto@senado.leg.br,,PSD,AP,335,Bloco Parlamentar da Resistência Democrática,AP,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Paulo Albuquerque,Patricia Costa
46,Luis Carlos Heinze,Luis Carlos Heinze,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,sen.luiscarlosheinze@senado.leg.br,,PP,RS,338,Bloco Parlamentar Vanguarda,RS,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Ireneu Orth,Drica de Lucena
47,Magno Malta,Magno Pereira Malta,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,sen.magnomalta@senado.leg.br,,PL,ES,338,Bloco Parlamentar Vanguarda,ES,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Marcinha Macedo,Tenente Emerson
48,Mara Gabrilli,Mara Cristina Gabrilli,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,sen.maragabrilli@senado.leg.br,,PSD,SP,335,Bloco Parlamentar da Resistência Democrática,SP,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Alfredo Cotait Neto,Ivani Boscolo
49,Marcelo Castro,Marcelo Costa e Castro,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,sen.marcelocastro@senado.leg.br,,MDB,PI,336,Bloco Parlamentar Democracia,PI,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,José Hamilton,Rosário Bezerra
50,Marcio Bittar,Marcio Miguel Bittar,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,sen.marciobittar@senado.leg.br,,UNIÃO,AC,336,Bloco Parlamentar Democracia,AC,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Eduardo Velloso,Macapá
51,Marcos do Val,Marcos Ribeiro do Val,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,sen.marcosdoval@senado.leg.br,,PODEMOS,ES,336,Bloco Parlamentar Democracia,ES,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Rosana Foerst,Ronaldo Libardi
52,Margareth Buzetti,Margareth Gettert Busetti,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6304.jpg,sen.margarethbuzetti@senado.leg.br,,PSD,MT,335,Bloco Parlamentar da Resistência Democrática,MT,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,1º Suplente,José Esteves de Lacerda Filho,
53,Mecias de Jesus,Antônio Mecias Pereira de Jesus,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,sen.meciasdejesus@senado.leg.br,,REPUBLICANOS,RR,338,Bloco Parlamentar Vanguarda,RR,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Enfermeira Roberta,Afonso Parente
54,Nelsinho Trad,Nelson Trad Filho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,sen.nelsinhotrad@senado.leg.br,,PSD,MS,335,Bloco Parlamentar da Resistência Democrática,MS,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,José Chagas,Professora Bazé
55,Omar Aziz,Omar José Abdel Aziz,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,sen.omaraziz@senado.leg.br,,PSD,AM,335,Bloco Parlamentar da Resistência Democrática,AM,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Cheila Moreira,João Pedro
56,Oriovisto Guimarães,Oriovisto Guimaraes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,sen.oriovistoguimaraes@senado.leg.br,,PODEMOS,PR,336,Bloco Parlamentar Democracia,PR,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Paulo Salamuni,Plinio Destro
57,Otto Alencar,Otto Roberto Mendonça de Alencar,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,sen.ottoalencar@senado.leg.br,,PSD,BA,335,Bloco Parlamentar da Resistência Democrática,BA,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Terence Lessa,Hildinha Menezes
58,Paulo Paim,Paulo Renato Paim,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,sen.paulopaim@senado.leg.br,,PT,RS,335,Bloco Parlamentar da Resistência Democrática,RS,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Cleonice Back,Reginete Bispo
59,Plínio Valério,Francisco Plínio Valério Tomaz,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,sen.pliniovalerio@senado.leg.br,,PSDB,AM,336,Bloco Parlamentar Democracia,AM,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Carlos Alberto,Jacira Souza
60,Professora Dorinha Seabra,Maria Auxiliadora Seabra Rezende,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,sen.professoradorinhaseabra@senado.leg.br,,UNIÃO,TO,336,Bloco Parlamentar Democracia,TO,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Professora Lu,Mauricio Buffon
61,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,sen.randolferodrigues@senado.leg.br,,REDE,AP,336,Bloco Parlamentar Democracia,AP,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Alberto David,Pastor Gaia
62,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,sen.renancalheiros@senado.leg.br,,MDB,AL,336,Bloco Parlamentar Democracia,AL,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Rafael Tenório,Silvania Barbosa
63,Rodrigo Cunha,Rodrigo Santos Cunha,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,sen.rodrigocunha@senado.leg.br,,UNIÃO,AL,336,Bloco Parlamentar Democracia,AL,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Dra. Eudócia,Henrique Arruda
64,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,sen.rodrigopacheco@senado.leg.br,,PSD,MG,335,Bloco Parlamentar da Resistência Democrática,MG,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Renzo Braz,Ana Maria
65,Rogerio Marinho,Rogério Simonetti Marinho,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4694.jpg,sen.rogeriomarinho@senado.leg.br,,PL,RN,338,Bloco Parlamentar Vanguarda,RN,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Flávio Azevedo,Igor Targino
66,Rogério Carvalho,Rogério Carvalho Santos,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,sen.rogeriocarvalho@senado.leg.br,,PT,SE,335,Bloco Parlamentar da Resistência Democrática,SE,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Jorge Mitidieri,Maria da Taiçoca
67,Romário,Romario de Souza Faria,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,sen.romario@senado.leg.br,,PL,RJ,338,Bloco Parlamentar Vanguarda,RJ,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Bruno Bonetti,Andrea Fontes
68,Sergio Moro,Sergio Fernando Moro,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,sen.sergiomoro@senado.leg.br,,UNIÃO,PR,336,Bloco Parlamentar Democracia,PR,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Luis Felipe Cunha,Ricardo Guerra
69,Soraya Thronicke,Soraya Vieira Thronicke,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,sen.sorayathronicke@senado.leg.br,,UNIÃO,MS,336,Bloco Parlamentar Democracia,MS,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Rodolfo Nogueira,Danny Fabricio
70,Styvenson Valentim,Eann Styvenson Valentim Mendes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,sen.styvensonvalentim@senado.leg.br,,PODEMOS,RN,336,Bloco Parlamentar Democracia,RN,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Alisson Taveira,Coronel Margarida
71,Sérgio Petecão,Sérgio de Oliveira Cunha,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,sen.sergiopetecao@senado.leg.br,,PSD,AC,335,Bloco Parlamentar da Resistência Democrática,AC,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Maria das Vitórias,Maria Alice
72,Teresa Leitão,Maria Teresa Leitão de Melo,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,sen.teresaleitao@senado.leg.br,,PT,PE,335,Bloco Parlamentar da Resistência Democrática,PE,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Silvio Costa,Francisco Alexandre
73,Tereza Cristina,Tereza Cristina Correa da Costa Dias,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,sen.terezacristina@senado.leg.br,,PP,MS,338,Bloco Parlamentar Vanguarda,MS,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Tenente Portela,Paulo Salomão
74,Vanderlan Cardoso,Vanderlan Vieira Cardoso,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,sen.vanderlancardoso@senado.leg.br,,PSD,GO,335,Bloco Parlamentar da Resistência Democrática,GO,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Pedro Chaves,Jader Melo
75,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,sen.venezianovitaldorego@senado.leg.br,,MDB,PB,336,Bloco Parlamentar Democracia,PB,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Ney Suassuna,Suely Santiago
76,Wellington Fagundes,Wellington Antonio Fagundes,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,sen.wellingtonfagundes@senado.leg.br,,PL,MT,338,Bloco Parlamentar Vanguarda,MT,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Mauro Carvalho,Rosana Martinelli
77,Weverton,Weverton Rocha Marques de Sousa,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,sen.wevertonrocha@senado.leg.br,,PDT,MA,336,Bloco Parlamentar Democracia,MA,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Roberth Bringel,Suely Pereira
78,Wilder Morais,Wilder Pedro de Morais,Masculino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,sen.wildermorais@senado.leg.br,,PL,GO,338,Bloco Parlamentar Vanguarda,GO,57,2023-02-01,2027-01-31,58,2027-02-01,2031-01-31,Titular,Izaura Cardoso,Hélio Araújo
79,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,Feminino,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,sen.zenaidemaia@senado.leg.br,,PSD,RN,335,Bloco Parlamentar da Resistência Democrática,RN,56,2019-02-01,2023-01-31,57,2023-02-01,2027-01-31,Titular,Júnior Souto,Pastor Manoel Roberto
